Shipment ID,Origin,Destination,Shipment Date,Estimated Delivery Date,Actual Delivery Date,Shipment Status,Carrier Name,Mode of Transportation,Product ID,Product Name,Weight (kg),Dimensions (LxWxH cm),Special Handling Instructions,Customer ID,Customer Region,Preferred Delivery Times,Cat ID,Cat Name,Breed,Age (Years),Health Certificate Status,Behavioral Notes,Route ID,Intermediate Stops,Distance Covered (km),Delay Reasons,Cost of Shipment (PHP),Carbon Emissions (kg CO2)
SHP-PH1000,Shelter Manila,Cat Café Cebu,2024-11-13,2024-11-18,2024-11-26,In-transit,PawLogistics,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Live Animal,CUST-PH1000,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1000,"Naga, Talisay",680,Technical Issue,1426,10
SHP-PH1001,Warehouse Bacolod,Cat Café Cebu,2024-11-18,2024-11-24,2024-11-28,In-transit,PawLogistics,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Handle with Care,CUST-PH1001,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1001,"Makati, Taguig",1217,None,1335,64
SHP-PH1002,Shelter Quezon City,Cat Café Makati,2024-11-09,2024-11-20,2024-11-19,Delayed,Grab Pet Transport,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,None,CUST-PH1002,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1002,"Naga, Talisay",332,Customs,1147,9
SHP-PH1003,Shelter Manila,Customer Home Davao,2024-11-09,2024-11-21,2024-11-11,Delayed,LBC Express,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1003,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1003,Davao City Hub,286,Technical Issue,1678,3
SHP-PH1004,Warehouse Cebu,Customer Home Davao,2024-11-26,2024-11-11,2024-11-27,Delayed,LBC Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1004,Bacolod,Evening,CAT-PH1004,Mittens,Siamese,4,Up-to-date,Playful,RT-PH1004,Clark Airport,1224,Customs,1198,26
SHP-PH1005,Shelter Quezon City,Customer Home Davao,2024-11-08,2024-11-25,2024-11-04,Delivered,Grab Pet Transport,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1005,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1005,Clark Airport,1274,Customs,600,75
SHP-PH1006,Shelter Manila,Cat Café Manila,2024-11-19,2024-11-08,2024-11-06,Delivered,Grab Pet Transport,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Live Animal,CUST-PH1006,Cebu,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1006,Clark Airport,1190,Weather,1971,18
SHP-PH1007,Shelter Quezon City,Cat Café Cebu,2024-11-08,2024-11-09,2024-11-18,Delayed,PawLogistics,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1007,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1007,Clark Airport,975,Technical Issue,1234,88
SHP-PH1008,Warehouse Bacolod,Cat Café Manila,2024-11-07,2024-11-12,2024-11-27,Delivered,PawLogistics,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Handle with Care,CUST-PH1008,Bacolod,Morning,CAT-PH1008,Bunso,Maine Coon,1,Up-to-date,Playful,RT-PH1008,Clark Airport,80,Weather,1899,72
SHP-PH1009,Warehouse Cebu,Cat Café Manila,2024-11-29,2024-11-27,2024-11-07,Delayed,Grab Pet Transport,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Live Animal,CUST-PH1009,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1009,Cebu City Airport,61,Weather,1850,68
